lsoa_code,borough,major_category,minor_category,value,year,month
E01003876,Richmond upon Thames,Burglary,Burglary in Other Buildings,0,2010,9
E01003681,Redbridge,Violence Against the Person,Wounding/GBH,1,2010,8
E01002949,Kingston upon Thames,Violence Against the Person,Harassment,0,2011,10
E01004480,Wandsworth,Burglary,Burglary in Other Buildings,0,2013,4
E01002943,Kingston upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,1,2015,12
E01003500,Newham,Violence Against the Person,Wounding/GBH,1,2010,6
E01004234,Tower Hamlets,Theft and Handling,Theft From Shops,0,2015,1
E01001410,Enfield,Theft and Handling,Handling Stolen Goods,0,2012,11
E01004661,Westminster,Drugs,Possession Of Drugs,2,2013,5
E01002703,Islington,Theft and Handling,Other Theft,1,2014,7
E01000553,Brent,Theft and Handling,Other Theft Person,0,2010,9
E01004681,Westminster,Theft and Handling,Other Theft,5,2011,12
E01002347,Havering,Violence Against the Person,Wounding/GBH,0,2011,10
E01003936,Southwark,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,9
E01003095,Lambeth,Violence Against the Person,Assault with Injury,1,2008,7
E01032720,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,2,2015,6
E01002812,Kensington and Chelsea,Burglary,Burglary in a Dwelling,0,2012,2
E01004651,Westminster,Violence Against the Person,Other violence,0,2013,9
E01002839,Kensington and Chelsea,Theft and Handling,Other Theft,0,2011,8
E01002652,Hounslow,Robbery,Business Property,0,2009,4
E01002022,Haringey,Robbery,Business Property,0,2015,8
E01001979,Haringey,Violence Against the Person,Wounding/GBH,2,2016,11
E01000246,Barnet,Robbery,Business Property,0,2015,8
E01003851,Richmond upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2011,5
E01002263,Havering,Drugs,Drug Trafficking,0,2011,10
E01004689,Westminster,Other Notifiable Offences,Other Notifiable,1,2009,6
E01004698,Westminster,Drugs,Drug Trafficking,0,2015,9
E01000112,Barking and Dagenham,Violence Against the Person,Wounding/GBH,0,2014,12
E01001279,Ealing,Burglary,Burglary in Other Buildings,0,2016,9
E01001304,Ealing,Criminal Damage,Criminal Damage To Other Building,0,2013,3
E01004066,Southwark,Violence Against the Person,Wounding/GBH,1,2015,1
E01002752,Islington,Violence Against the Person,Assault with Injury,1,2011,12
E01004468,Waltham Forest,Drugs,Possession Of Drugs,0,2014,6
E01004669,Westminster,Theft and Handling,Other Theft,1,2012,7
E01003657,Redbridge,Criminal Damage,Criminal Damage To Other Building,0,2015,9
E01004742,Westminster,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,11
E01001245,Ealing,Drugs,Possession Of Drugs,0,2012,12
E01004619,Wandsworth,Other Notifiable Offences,Other Notifiable,0,2009,6
E01002819,Kensington and Chelsea,Violence Against the Person,Other violence,0,2012,9
E01001058,Croydon,Robbery,Business Property,0,2009,11
E01002870,Kensington and Chelsea,Other Notifiable Offences,Going Equipped,0,2016,1
E01004614,Wandsworth,Violence Against the Person,Offensive Weapon,0,2016,2
E01003055,Lambeth,Robbery,Business Property,0,2010,3
E01003398,Merton,Theft and Handling,Other Theft,0,2010,1
E01001454,Enfield,Violence Against the Person,Common Assault,1,2016,5
E01001200,Ealing,Drugs,Possession Of Drugs,1,2013,3
E01004740,Westminster,Violence Against the Person,Offensive Weapon,0,2016,3
E01002392,Hillingdon,Robbery,Business Property,0,2009,8
E01001776,Hackney,Other Notifiable Offences,Other Notifiable,0,2008,9
E01001741,Hackney,Theft and Handling,Other Theft Person,0,2016,8
E01003515,Newham,Violence Against the Person,Assault with Injury,1,2009,7
E01000903,Camden,Violence Against the Person,Wounding/GBH,0,2009,5
E01003324,Lewisham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,10
E01000885,Camden,Criminal Damage,Criminal Damage To Other Building,0,2009,4
E01003955,Southwark,Theft and Handling,Theft From Motor Vehicle,0,2015,11
E01001890,Hammersmith and Fulham,Violence Against the Person,Other violence,0,2015,4
E01003550,Newham,Criminal Damage,Criminal Damage To Other Building,0,2008,9
E01000948,Camden,Robbery,Business Property,0,2009,3
E01003906,Richmond upon Thames,Other Notifiable Offences,Other Notifiable,0,2010,9
E01003631,Newham,Sexual Offences,Rape,0,2015,5
E01033743,Greenwich,Theft and Handling,Theft From Motor Vehicle,2,2012,12
E01002846,Kensington and Chelsea,Violence Against the Person,Wounding/GBH,1,2008,12
E01000577,Brent,Criminal Damage,Criminal Damage To Dwelling,0,2013,11
E01000089,Barking and Dagenham,Drugs,Possession Of Drugs,0,2009,6
E01002027,Haringey,Violence Against the Person,Common Assault,0,2011,8
E01002509,Hillingdon,Theft and Handling,Theft From Shops,0,2016,6
E01000525,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01003606,Newham,Drugs,Possession Of Drugs,0,2012,4
E01003181,Lambeth,Theft and Handling,Other Theft Person,0,2009,5
E01003848,Richmond upon Thames,Violence Against the Person,Common Assault,0,2014,5
E01000165,Barnet,Violence Against the Person,Harassment,0,2012,4
E01003046,Lambeth,Violence Against the Person,Murder,0,2008,3
E01001698,Greenwich,Violence Against the Person,Common Assault,1,2014,9
E01001095,Croydon,Burglary,Burglary in a Dwelling,0,2016,9
E01001787,Hackney,Theft and Handling,Handling Stolen Goods,0,2014,12
E01032640,Southwark,Violence Against the Person,Other violence,0,2008,2
E01001035,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,7
E01004321,Tower Hamlets,Violence Against the Person,Wounding/GBH,1,2015,9
E01003218,Lewisham,Criminal Damage,Other Criminal Damage,0,2011,5
E01001440,Enfield,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,12
E01033085,Haringey,Violence Against the Person,Assault with Injury,2,2015,3
E01000323,Barnet,Violence Against the Person,Wounding/GBH,0,2014,11
E01003247,Lewisham,Burglary,Burglary in a Dwelling,1,2008,4
E01002749,Islington,Drugs,Possession Of Drugs,0,2009,8
E01002346,Havering,Violence Against the Person,Wounding/GBH,0,2009,12
E01032577,Hillingdon,Violence Against the Person,Wounding/GBH,0,2013,9
E01003084,Lambeth,Theft and Handling,Theft From Shops,0,2009,7
E01000876,Camden,Drugs,Drug Trafficking,0,2014,3
